severity,signal_type,alert_state,monitor_condition,target_resource,target_resource_name,target_resource_group,target_resource_type,monitor_service,alert_rule,source_created_id,start_date_time,last_modified_date_time,last_modified_user_name
Sev3,Log,New,Fired,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourcegroups/apim-lab-stv2-001/providers/microsoft.cdn/profiles/apim-lab-stv2-001,apim-lab-stv2-001,apim-lab-stv2-001,profiles,Log Alerts V2,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourceGroups/api-gateway-v2-ppe/providers/microsoft.insights/scheduledqueryrules/AFD 404 more than 25 in 5 min - Current STV2 Lab,95902588-b45d-45e6-b75b-252fd70f44fc,2024-01-01T14:06:22.915099Z,2024-01-01T14:06:22.915099Z,System
Sev3,Log,New,Fired,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourcegroups/apim-lab-stv2-001/providers/microsoft.cdn/profiles/apim-lab-stv2-001,apim-lab-stv2-001,apim-lab-stv2-001,profiles,Log Alerts V2,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourceGroups/api-gateway-v2-ppe/providers/microsoft.insights/scheduledqueryrules/AFD 404 more than 25 in 5 min - Current STV2 Lab,507b8d43-3d51-41d5-b63c-b494fb0e3335,2024-01-01T14:01:23.035788Z,2024-01-01T14:01:23.035788Z,System
Sev3,Log,New,Fired,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourcegroups/apim-lab-stv2-001/providers/microsoft.cdn/profiles/apim-lab-stv2-001,apim-lab-stv2-001,apim-lab-stv2-001,profiles,Log Alerts V2,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourceGroups/api-gateway-v2-ppe/providers/microsoft.insights/scheduledqueryrules/AFD 404 more than 25 in 5 min - Current STV2 Lab,4b4795a8-5b43-447b-afc2-43b705d2d197,2024-01-01T11:21:25.566311Z,2024-01-01T11:21:25.566311Z,System
Sev3,Log,New,Fired,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourcegroups/apim-lab-stv2-001/providers/microsoft.cdn/profiles/apim-lab-stv2-001,apim-lab-stv2-001,apim-lab-stv2-001,profiles,Log Alerts V2,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourceGroups/api-gateway-v2-ppe/providers/microsoft.insights/scheduledqueryrules/AFD 404 more than 25 in 5 min - Current STV2 Lab,9637e04b-ba94-4eeb-a56f-6e44177c70b8,2024-01-01T10:56:26.499544Z,2024-01-01T10:56:26.499544Z,System
Sev3,Log,New,Fired,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourcegroups/apim-lab-stv2-001/providers/microsoft.cdn/profiles/apim-lab-stv2-001,apim-lab-stv2-001,apim-lab-stv2-001,profiles,Log Alerts V2,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourceGroups/api-gateway-v2-ppe/providers/microsoft.insights/scheduledqueryrules/AFD 404 more than 25 in 5 min - Current STV2 Lab,af3ccb01-213e-49cb-a6ac-90997ff10aa0,2024-01-01T10:53:54.126277Z,2024-01-01T10:53:54.126277Z,System
Sev3,Log,New,Fired,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourcegroups/apim-lab-stv2-001/providers/microsoft.cdn/profiles/apim-lab-stv2-001,apim-lab-stv2-001,apim-lab-stv2-001,profiles,Log Alerts V2,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourceGroups/api-gateway-v2-ppe/providers/microsoft.insights/scheduledqueryrules/AFD 404 more than 25 in 5 min - Current STV2 Lab,5aecfddd-e4f6-443d-8bf0-ed5d34c725de,2024-01-01T10:46:22.706145Z,2024-01-01T10:46:22.706145Z,System
Sev3,Log,New,Fired,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourcegroups/apim-lab-stv2-001/providers/microsoft.cdn/profiles/apim-lab-stv2-001,apim-lab-stv2-001,apim-lab-stv2-001,profiles,Log Alerts V2,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourceGroups/api-gateway-v2-ppe/providers/microsoft.insights/scheduledqueryrules/AFD 404 more than 25 in 5 min - Current STV2 Lab,3fe49fd6-6ef1-4628-bd94-b2d57e24a7d1,2024-01-01T10:08:52.220241Z,2024-01-01T10:08:52.220241Z,System
Sev3,Log,New,Fired,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourcegroups/apim-lab-stv2-001/providers/microsoft.cdn/profiles/apim-lab-stv2-001,apim-lab-stv2-001,apim-lab-stv2-001,profiles,Log Alerts V2,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourceGroups/api-gateway-v2-ppe/providers/microsoft.insights/scheduledqueryrules/AFD 404 more than 25 in 5 min - Current STV2 Lab,06b973b5-05f5-408e-a2ed-69a005d92dd6,2024-01-01T09:21:26.691014Z,2024-01-01T09:21:26.691014Z,System
Sev3,Log,New,Fired,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourcegroups/apim-lab-stv2-001/providers/microsoft.cdn/profiles/apim-lab-stv2-001,apim-lab-stv2-001,apim-lab-stv2-001,profiles,Log Alerts V2,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourceGroups/api-gateway-v2-ppe/providers/microsoft.insights/scheduledqueryrules/AFD 404 more than 25 in 5 min - Current STV2 Lab,6d59e17b-a45d-44d3-b4d8-49a3110fe75f,2024-01-01T07:01:22.918868Z,2024-01-01T07:01:22.918868Z,System
Sev3,Log,New,Fired,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourcegroups/apim-lab-stv2-001/providers/microsoft.cdn/profiles/apim-lab-stv2-001,apim-lab-stv2-001,apim-lab-stv2-001,profiles,Log Alerts V2,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourceGroups/api-gateway-v2-ppe/providers/microsoft.insights/scheduledqueryrules/AFD 404 more than 25 in 5 min - Current STV2 Lab,a2831618-168c-46ad-8dba-68cc55c0f40c,2024-01-01T06:56:24.924632Z,2024-01-01T06:56:24.924632Z,System
Sev3,Log,New,Fired,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourcegroups/apim-lab-stv2-001/providers/microsoft.cdn/profiles/apim-lab-stv2-001,apim-lab-stv2-001,apim-lab-stv2-001,profiles,Log Alerts V2,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourceGroups/api-gateway-v2-ppe/providers/microsoft.insights/scheduledqueryrules/AFD 404 more than 25 in 5 min - Current STV2 Lab,68137043-8952-4e43-9a95-e4c7d686a590,2024-01-01T06:53:53.734661Z,2024-01-01T06:53:53.734661Z,System
Sev3,Log,New,Fired,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourcegroups/apim-lab-stv2-001/providers/microsoft.cdn/profiles/apim-lab-stv2-001,apim-lab-stv2-001,apim-lab-stv2-001,profiles,Log Alerts V2,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourceGroups/api-gateway-v2-ppe/providers/microsoft.insights/scheduledqueryrules/AFD 404 more than 25 in 5 min - Current STV2 Lab,4c342ac3-d84c-4f1b-9b0f-840fbf016f46,2024-01-01T06:16:25.566824Z,2024-01-01T06:16:25.566824Z,System
Sev3,Log,New,Fired,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourcegroups/apim-lab-stv2-001/providers/microsoft.cdn/profiles/apim-lab-stv2-001,apim-lab-stv2-001,apim-lab-stv2-001,profiles,Log Alerts V2,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourceGroups/api-gateway-v2-ppe/providers/microsoft.insights/scheduledqueryrules/AFD 404 more than 25 in 5 min - Current STV2 Lab,d3eff44e-0577-4f5e-a0ff-767323a51a80,2024-01-01T06:06:23.809066Z,2024-01-01T06:06:23.809066Z,System
Sev3,Log,New,Fired,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourcegroups/apim-lab-stv2-001/providers/microsoft.cdn/profiles/apim-lab-stv2-001,apim-lab-stv2-001,apim-lab-stv2-001,profiles,Log Alerts V2,/subscriptions/65ae371b-6c46-4e36-8a7b-93efb1f2c2bd/resourceGroups/api-gateway-v2-ppe/providers/microsoft.insights/scheduledqueryrules/AFD 404 more than 25 in 5 min - Current STV2 Lab,08cc8c5d-5506-4193-b3c0-26ad42645453,2024-01-01T04:31:23.233164Z,2024-01-01T04:31:23.233164Z,System
